Geographic_Area,2020_Apr_1,2020_Jul_1,2021_Jul_1,2022_Jul_1
Autauga County_AL,58802,58902,59210,59759
Baldwin County_AL,231761,233219,239361,246435
Barbour County_AL,25224,24960,24539,24706
Bibb County_AL,22300,22183,22370,22005
Blount County_AL,59130,59102,59085,59512
Bullock County_AL,10362,10296,10280,10202
Butler County_AL,19055,19031,18855,18650
Calhoun County_AL,116444,116239,115677,115788
Chambers County_AL,34774,34645,34446,34088
Cherokee County_AL,24979,24972,25026,25302
Chilton County_AL,45009,45051,45259,45884
Choctaw County_AL,12663,12619,12549,12439
Clarke County_AL,23087,22981,22715,22515
Clay County_AL,14237,14211,14190,14198
Cleburne County_AL,15057,15063,15148,15346
Coffee County_AL,53460,53547,54171,54805
Colbert County_AL,57232,57299,57619,58033
Conecuh County_AL,11597,11553,11320,11206
Coosa County_AL,10382,10341,10366,10166
Covington County_AL,37567,37507,37542,37602
Crenshaw County_AL,13197,13165,13056,13025
Cullman County_AL,87857,88131,89618,90665
Dale County_AL,49319,49253,49412,49544
Dallas County_AL,38463,38174,37565,36767
DeKalb County_AL,71611,71648,71829,71998
Elmore County_AL,87974,87853,88737,89563
Escambia County_AL,36767,36680,36658,36666
Etowah County_AL,103441,103447,103139,103088
Fayette County_AL,16326,16330,16155,16118
Franklin County_AL,32113,32075,31996,31932
Geneva County_AL,26660,26696,26667,26783
Greene County_AL,7734,7702,7592,7422
Hale County_AL,14786,14768,14737,14595
Henry County_AL,17148,17175,17434,17655
Houston County_AL,107204,107286,107453,108079
Jackson County_AL,52582,52545,52694,52891
Jefferson County_AL,674355,674675,669997,665409
Lamar County_AL,13976,13956,13740,13705
Lauderdale County_AL,93565,94025,94862,95878
Lawrence County_AL,33077,33089,33123,33214
Lee County_AL,174244,174742,177655,180773
Limestone County_AL,103563,104190,107381,110900
Lowndes County_AL,10310,10273,9926,9777
Macon County_AL,19534,19473,18906,18516
Madison County_AL,388160,390502,396593,403565
Marengo County_AL,19324,19266,18961,18745
Marion County_AL,29341,29166,29006,29156
Marshall County_AL,97611,97696,98316,99423
Mobile County_AL,414812,414353,413017,411411
Monroe County_AL,19770,19704,19557,19404
Montgomery County_AL,228948,228322,226953,226361
Morgan County_AL,123421,123288,123403,124211
Perry County_AL,8515,8458,8317,8035
Pickens County_AL,19124,18922,18615,18697
Pike County_AL,33008,32906,32740,33014
Randolph County_AL,21970,22092,22199,22479
Russell County_AL,59187,59259,58668,58555
St Clair County_AL,91471,91652,92903,93932
Shelby County_AL,223034,223881,227428,230115
Sumter County_AL,12348,12196,11961,11853
Talladega County_AL,82152,81428,80483,80704
Tallapoosa County_AL,41316,41286,41132,40977
Tuscaloosa County_AL,227041,231534,235668,236780
Walker County_AL,65342,65132,64629,64339
WA County_AL,15388,15327,15234,15122
Wilcox County_AL,10601,10432,10331,10059
Winston County_AL,23544,23488,23672,23755
Aleutians East Borough_AK,3419,3425,3424,3398
Aleutians West Census Area_AK,5232,5222,5155,5122
Anchorage Municipality_AK,291244,290866,288702,287145
Bethel Census Area_AK,18670,18673,18599,18257
Bristol Bay Borough_AK,843,829,841,865
Chugach Census Area_AK,7097,7077,6943,6874
Copper River Census Area_AK,2618,2616,2611,2589
Denali Borough_AK,1624,1614,1594,1585
Dillingham Census Area_AK,4853,4835,4774,4723
Fairbanks North Star Borough_AK,95657,95328,95528,95356
Haines Borough_AK,2080,2086,2074,2056
Hoonah-Angoon Census Area_AK,2364,2362,2339,2287
Juneau City and Borough_AK,32255,32202,31965,31685
Kenai Peninsula Borough_AK,58789,58927,59851,60690
Ketchikan Gateway Borough_AK,13957,13918,13810,13741
Kodiak Island Borough_AK,13101,13047,12864,12720
Kusilvak Census Area_AK,8372,8373,8398,8278
Lake and Peninsula Borough_AK,1476,1452,1419,1381
Matanuska-Susitna Borough_AK,107082,107515,111059,113325
Nome Census Area_AK,10049,10028,9908,9835
North Slope Borough_AK,11030,11002,11011,10805
Northwest Arctic Borough_AK,7790,7790,7560,7423
Petersburg Borough_AK,3399,3405,3373,3360
Prince of Wales-Hyder Census Area_AK,5753,5739,5734,5650
Sitka City and Borough_AK,8448,8425,8410,8382
Skagway Municipality_AK,1242,1240,1142,1081
Southeast Fairbanks Census Area_AK,6805,6820,7005,7021
Wrangell City and Borough_AK,2126,2127,2100,2070
Yakutat City and Borough_AK,664,684,709,700
Yukon-Koyukuk Census Area_AK,5339,5296,5280,5179
Apache County_AZ,66024,65911,65385,65432
Cochise County_AZ,125448,125522,125763,125663
Coconino County_AZ,145100,145180,142780,144060
Gila County_AZ,53273,53351,53521,53922
Graham County_AZ,38533,38638,38882,38779
Greenlee County_AZ,9561,9526,9377,9302
La Paz County_AZ,16555,16575,16391,16506
Maricopa County_AZ,4420574,4440232,4494693,4551524
Mohave County_AZ,213269,214176,216957,220816
Navajo County_AZ,106716,106762,107621,108650
Pima County_AZ,1043434,1045175,1048895,1057597
Pinal County_AZ,425257,429446,448144,464154
