County,COVID_Deaths_Per_10K,Rurality_Score
Autauga County_AL,32.62,3
Baldwin County_AL,27.18,4
Barbour County_AL,32.18,6
Bibb County_AL,21.16,2
Blount County_AL,17.23,2
Bullock County_AL,0.00,6
Butler County_AL,43.92,6
Calhoun County_AL,56.96,4
Chambers County_AL,16.82,5
Cherokee County_AL,18.35,6
Chilton County_AL,17.00,2
Choctaw County_AL,21.48,6
Clarke County_AL,16.65,6
Clay County_AL,39.41,6
Cleburne County_AL,18.48,6
Coffee County_AL,37.04,5
Colbert County_AL,59.43,4
Conecuh County_AL,35.91,6
Coosa County_AL,10.67,5
Covington County_AL,69.23,6
Crenshaw County_AL,47.29,6
Cullman County_AL,46.26,5
Dale County_AL,28.96,5
Dallas County_AL,55.64,5
DeKalb County_AL,28.98,6
Elmore County_AL,10.96,3
Escambia County_AL,44.15,6
Etowah County_AL,73.88,4
Fayette County_AL,28.34,6
Franklin County_AL,22.48,6
Geneva County_AL,37.45,4
Greene County_AL,0.00,6
Hale County_AL,21.06,4
Henry County_AL,6.34,4
Houston County_AL,99.16,4
Jackson County_AL,30.94,5
Jefferson County_AL,58.62,1
Lamar County_AL,15.17,6
Lauderdale County_AL,54.13,4
Lawrence County_AL,24.45,4
Lee County_AL,33.08,4
Limestone County_AL,23.85,3
Lowndes County_AL,13.90,3
Macon County_AL,9.42,6
Madison County_AL,38.23,3
Marengo County_AL,65.53,6
Marion County_AL,43.54,6
Marshall County_AL,40.30,5
Mobile County_AL,48.65,3
Monroe County_AL,34.68,6
Montgomery County_AL,68.40,3
Morgan County_AL,37.95,4
Perry County_AL,20.41,6
Pickens County_AL,29.72,4
Pike County_AL,34.02,5
Randolph County_AL,12.62,6
Russell County_AL,19.18,3
St Clair County_AL,20.00,2
Shelby County_AL,14.68,2
Sumter County_AL,15.72,6
Talladega County_AL,36.46,5
Tallapoosa County_AL,43.23,6
Tuscaloosa County_AL,47.13,4
Walker County_AL,56.89,2
Wilcox County_AL,13.52,6
Winston County_AL,29.22,6
Aleutians East Borough_AK,0.00,6
Anchorage Municipality_AK,26.46,3
Bethel Census Area_AK,21.56,6
Denali Borough_AK,0.00,6
Dillingham Census Area_AK,0.00,6
Fairbanks North Star Borough_AK,21.05,4
Hoonah-Angoon Census Area_AK,0.00,6
Juneau City and Borough_AK,5.62,5
Kenai Peninsula Borough_AK,15.28,6
Ketchikan Gateway Borough_AK,12.27,5
Kodiak Island Borough_AK,0.00,6
Matanuska-Susitna Borough_AK,21.96,3
Nome Census Area_AK,0.00,6
North Slope Borough_AK,0.00,6
Northwest Arctic Borough_AK,13.09,6
Prince of Wales-Hyder Census Area_AK,0.00,6
Sitka City and Borough_AK,11.88,6
Skagway Municipality_AK,0.00,6
Southeast Fairbanks Census Area_AK,0.00,6
Wrangell City and Borough_AK,0.00,6
Yukon-Koyukuk Census Area_AK,0.00,6
Apache County_AZ,25.73,6
Cochise County_AZ,22.85,4
Coconino County_AZ,34.31,4
