Dates,Northeast,South,West,Midwest
2020-01-22,0.00,0.00,0.00,0.00
2020-01-23,0.00,0.00,0.00,0.00
2020-01-24,0.00,0.00,0.00,0.00
2020-01-25,0.00,0.00,0.00,0.00
2020-01-26,0.00,0.00,0.00,0.00
2020-01-27,0.00,0.00,0.00,0.00
2020-01-28,0.00,0.00,0.00,0.00
2020-01-29,0.00,0.00,0.00,0.00
2020-01-30,0.00,0.00,0.00,0.00
2020-01-31,0.00,0.00,0.00,0.00
2020-02-01,0.00,0.00,0.00,0.00
2020-02-02,0.00,0.00,0.00,0.00
2020-02-03,0.00,0.00,0.00,0.00
2020-02-04,0.00,0.00,0.00,0.00
2020-02-05,0.00,0.00,0.00,0.00
2020-02-06,0.00,0.00,0.00,0.00
2020-02-07,0.00,0.00,0.00,0.00
2020-02-08,0.00,0.00,0.00,0.00
2020-02-09,0.00,0.00,0.00,0.00
2020-02-10,0.00,0.00,0.00,0.00
2020-02-11,0.00,0.00,0.00,0.00
2020-02-12,0.00,0.00,0.00,0.00
2020-02-13,0.00,0.00,0.00,0.00
2020-02-14,0.00,0.00,0.00,0.00
2020-02-15,0.00,0.00,0.00,0.00
2020-02-16,0.00,0.00,0.00,0.00
2020-02-17,0.00,0.00,0.00,0.00
2020-02-18,0.00,0.00,0.00,0.00
2020-02-19,0.00,0.00,0.00,0.00
2020-02-20,0.00,0.00,0.00,0.00
2020-02-21,0.00,0.00,0.00,0.00
2020-02-22,0.00,0.00,0.00,0.00
2020-02-23,0.00,0.00,0.00,0.00
2020-02-24,0.00,0.00,0.00,0.00
2020-02-25,0.00,0.00,0.00,0.00
2020-02-26,0.00,0.00,0.00,0.00
2020-02-27,0.00,0.00,0.00,0.00
2020-02-28,0.00,0.00,0.00,0.00
2020-02-29,0.00,0.00,0.00,0.00
2020-03-01,0.00,0.00,0.00,0.00
2020-03-02,0.00,0.00,0.00,0.01
2020-03-03,0.00,0.00,0.01,0.01
2020-03-04,0.00,0.01,0.01,0.02
2020-03-05,0.00,0.01,0.01,0.02
2020-03-06,0.01,0.01,0.02,0.03
2020-03-07,0.01,0.01,0.03,0.04
2020-03-08,0.02,0.02,0.04,0.05
2020-03-09,0.04,0.02,0.05,0.08
2020-03-10,0.06,0.03,0.07,0.11
2020-03-11,0.08,0.04,0.09,0.15
2020-03-12,0.10,0.05,0.10,0.21
2020-03-13,0.11,0.07,0.12,0.28
2020-03-14,0.13,0.09,0.15,0.36
2020-03-15,0.18,0.12,0.18,0.48
2020-03-16,0.22,0.16,0.22,0.63
2020-03-17,0.31,0.20,0.25,0.81
2020-03-18,0.45,0.25,0.28,1.01
2020-03-19,0.72,0.32,0.35,1.20
2020-03-20,1.06,0.41,0.46,1.42
2020-03-21,1.59,0.52,0.54,1.62
2020-03-22,2.27,0.63,0.63,1.82
2020-03-23,3.17,0.73,0.77,2.06
2020-03-24,4.03,0.91,0.87,2.25
2020-03-25,4.94,1.14,1.07,2.47
2020-03-26,6.33,1.36,1.29,2.80
2020-03-27,7.76,1.60,1.55,3.12
2020-03-28,9.10,1.80,1.86,3.39
2020-03-29,10.22,2.00,3.06,3.67
2020-03-30,11.47,2.24,2.20,3.97
2020-03-31,12.52,2.58,2.55,4.33
2020-04-01,13.94,2.91,2.81,4.71
2020-04-02,14.87,3.44,3.01,4.86
2020-04-03,16.49,3.75,3.16,5.06
2020-04-04,17.75,4.13,3.29,5.36
2020-04-05,18.47,4.29,2.50,5.41
2020-04-06,19.17,4.64,3.57,5.57
2020-04-07,19.94,4.89,3.55,5.67
2020-04-08,20.76,5.10,3.48,5.74
2020-04-09,21.83,5.00,3.56,5.83
2020-04-10,21.77,5.16,3.43,5.91
2020-04-11,22.18,5.05,3.37,5.86
2020-04-12,22.28,5.13,3.29,5.99
2020-04-13,21.85,5.03,3.23,5.92
2020-04-14,21.84,4.79,3.10,5.87
2020-04-15,21.06,4.54,3.08,5.77
2020-04-16,20.65,4.52,3.09,5.89
2020-04-17,20.24,4.44,3.16,6.08
2020-04-18,19.46,4.47,3.17,6.31
2020-04-19,19.40,4.36,3.18,6.55
2020-04-20,19.58,4.44,3.17,6.84
2020-04-21,19.06,4.50,3.43,7.13
2020-04-22,19.44,4.59,3.67,7.39
2020-04-23,19.41,4.71,3.71,7.73
2020-04-24,19.94,4.70,3.92,8.09
2020-04-25,20.68,4.83,4.07,8.31
2020-04-26,20.62,4.97,4.06,8.35
2020-04-27,19.77,4.89,4.19,8.63
2020-04-28,19.49,4.90,4.10,8.83
2020-04-29,18.71,4.86,3.99,9.22
2020-04-30,17.80,4.81,4.18,9.51
2020-05-01,16.71,5.13,4.04,9.87
2020-05-02,15.39,5.15,4.02,10.03
2020-05-03,14.76,5.21,4.09,10.46
2020-05-04,14.35,5.26,4.12,10.49
2020-05-05,13.98,5.31,4.07,10.60
2020-05-06,13.41,5.33,4.27,10.68
2020-05-07,12.91,5.36,4.06,10.97
2020-05-08,12.36,5.12,4.18,11.07
2020-05-09,11.73,5.10,4.25,11.22
2020-05-10,11.33,5.12,4.30,10.54
2020-05-11,10.88,5.11,4.25,10.58
2020-05-12,10.28,5.16,4.28,11.23
2020-05-13,9.88,5.34,3.16,10.89
2020-05-14,9.51,5.43,4.15,11.22
2020-05-15,9.05,5.44,4.09,11.20
2020-05-16,8.97,5.62,4.04,11.05
2020-05-17,8.66,5.60,4.06,11.22
2020-05-18,8.98,5.64,4.12,11.43
2020-05-19,8.96,5.78,4.09,10.81
2020-05-20,9.07,5.77,5.12,10.92
2020-05-21,8.76,5.88,4.16,10.39
2020-05-22,8.57,5.94,4.19,10.30
2020-05-23,7.99,5.81,4.27,9.98
2020-05-24,7.79,5.86,4.27,10.16
2020-05-25,7.34,5.93,4.32,9.67
2020-05-26,7.00,5.78,4.42,9.18
2020-05-27,6.47,5.76,4.40,8.93
2020-05-28,6.10,5.80,4.58,8.53
2020-05-29,5.96,5.88,4.68,8.00
2020-05-30,5.89,6.05,4.89,8.13
2020-05-31,5.62,6.27,5.28,7.75
2020-06-01,5.39,6.27,5.41,7.37
2020-06-02,5.42,6.48,5.65,7.44
2020-06-03,5.26,6.61,5.84,7.30
2020-06-04,5.06,6.58,5.74,7.05
2020-06-05,4.71,6.68,6.11,6.93
2020-06-06,4.61,6.81,6.26,6.46
2020-06-07,4.25,6.79,6.21,6.26
2020-06-08,4.02,6.82,6.39,6.43
2020-06-09,3.75,6.89,6.29,6.15
2020-06-10,3.61,7.10,6.43,6.05
2020-06-11,3.53,7.27,6.78,5.86
2020-06-12,3.38,7.67,6.71,6.14
2020-06-13,3.14,8.07,6.88,6.09
2020-06-14,3.08,8.31,6.93,6.10
2020-06-15,2.99,8.67,7.00,5.94
2020-06-16,2.94,9.12,7.41,5.96
2020-06-17,2.82,9.47,7.66,5.90
2020-06-18,2.69,9.78,8.14,6.03
2020-06-19,2.58,10.10,8.89,5.67
2020-06-20,2.51,10.61,9.36,5.69
2020-06-21,2.50,10.94,9.93,5.80
2020-06-22,2.54,11.41,10.50,5.93
2020-06-23,2.50,12.29,11.33,6.07
2020-06-24,2.53,13.10,11.82,6.38
2020-06-25,2.62,14.43,12.58,6.78
2020-06-26,2.65,15.67,12.77,7.00
2020-06-27,2.68,16.23,13.36,7.39
2020-06-28,2.73,17.13,13.65,7.47
2020-06-29,2.69,17.82,13.94,7.93
2020-06-30,2.79,18.27,14.49,8.31
2020-07-01,2.84,19.57,15.96,8.72
2020-07-02,2.92,20.35,16.21,8.64
2020-07-03,2.98,21.17,17.16,8.83
2020-07-04,2.90,21.83,17.09,8.83
2020-07-05,2.88,21.91,17.36,8.99
2020-07-06,2.98,22.26,18.88,9.07
2020-07-07,3.03,23.38,18.81,9.00
2020-07-08,3.08,23.65,19.00,9.36
2020-07-09,2.97,24.17,19.07,9.74
2020-07-10,2.98,24.76,19.09,10.30
2020-07-11,3.06,26.41,19.54,10.63
2020-07-12,3.12,27.79,20.14,11.11
2020-07-13,3.10,28.69,19.34,11.47
2020-07-14,3.21,29.14,19.67,11.75
2020-07-15,3.33,29.81,19.67,11.96
2020-07-16,3.37,30.17,20.24,12.13
2020-07-17,3.36,30.83,20.69,12.12
2020-07-18,3.33,30.48,21.00,12.25
2020-07-19,3.24,30.62,21.22,12.06
2020-07-20,3.31,30.83,20.94,12.41
2020-07-21,3.28,30.45,21.25,12.54
2020-07-22,3.22,30.41,21.37,12.56
2020-07-23,3.25,30.60,21.61,12.74
2020-07-24,3.50,30.24,21.19,12.93
2020-07-25,3.67,29.22,21.81,12.81
2020-07-26,3.89,28.92,21.43,13.18
2020-07-27,3.97,28.56,21.46,12.83
2020-07-28,4.06,28.42,20.79,12.84
2020-07-29,4.22,28.02,20.05,12.75
2020-07-30,4.28,27.35,19.72,12.87
2020-07-31,4.23,26.94,19.58,12.82
2020-08-01,4.16,26.99,18.48,12.98
2020-08-02,4.06,26.41,18.50,12.70
2020-08-03,3.98,25.66,18.08,12.83
2020-08-04,3.93,25.33,17.41,12.89
2020-08-05,3.78,24.78,16.60,13.03
2020-08-06,3.71,24.18,15.45,12.86
2020-08-07,3.55,23.76,15.14,12.95
2020-08-08,3.51,23.35,14.78,13.19
2020-08-09,3.53,23.00,14.47,13.26
2020-08-10,3.54,22.72,14.68,13.14
2020-08-11,3.51,22.69,16.03,13.11
2020-08-12,3.53,22.11,16.88,12.96
2020-08-13,3.69,21.64,17.08,13.12
2020-08-14,3.72,20.98,16.93,13.20
2020-08-15,3.65,20.44,17.83,13.12
2020-08-16,3.63,19.96,17.78,13.06
2020-08-17,3.63,20.03,17.34,13.06
2020-08-18,3.48,19.15,15.76,13.03
2020-08-19,3.39,18.87,14.72,13.19
2020-08-20,3.19,18.56,14.42,13.17
2020-08-21,3.18,18.12,13.76,12.90
2020-08-22,3.22,17.69,12.67,13.15
2020-08-23,3.12,17.45,12.15,13.17
2020-08-24,3.21,16.69,11.92,13.57
2020-08-25,3.25,16.50,11.88,13.72
2020-08-26,3.24,16.39,11.67,14.14
2020-08-27,3.32,16.33,11.29,14.77
2020-08-28,3.37,16.08,11.25,15.10
2020-08-29,3.42,16.09,10.86,15.15
2020-08-30,3.51,15.98,10.75,15.50
2020-08-31,3.52,16.55,10.52,15.30
2020-09-01,3.66,16.25,10.32,15.68
2020-09-02,3.78,15.99,10.05,15.43
2020-09-03,3.93,15.84,10.23,15.04
2020-09-04,3.95,15.95,10.15,15.82
2020-09-05,4.02,15.84,10.11,16.07
2020-09-06,4.07,15.86,9.84,15.81
2020-09-07,3.95,14.82,9.65,15.20
2020-09-08,3.81,14.05,9.15,15.01
2020-09-09,3.79,13.72,8.63,14.74
2020-09-10,3.67,13.43,8.12,14.56
2020-09-11,3.81,13.11,7.75,14.02
2020-09-12,3.88,13.12,7.59,13.96
2020-09-13,3.90,12.76,7.59,14.32
2020-09-14,4.08,13.27,7.62,15.13
2020-09-15,4.28,14.07,7.79,15.09
2020-09-16,4.30,14.58,8.23,15.48
2020-09-17,4.48,14.67,8.66,15.93
2020-09-18,4.37,14.72,9.02,16.35
2020-09-19,4.38,14.73,9.19,16.49
2020-09-20,4.42,14.78,9.17,16.72
