Dates,Democrat_Held,Republican_Held,Other
2020-01-22,0.00,0.00,0.00
2020-01-23,0.00,0.00,0.00
2020-01-24,0.00,0.00,0.00
2020-01-25,0.00,0.00,0.00
2020-01-26,0.00,0.00,0.00
2020-01-27,0.00,0.00,0.00
2020-01-28,0.00,0.00,0.00
2020-01-29,0.00,0.00,0.00
2020-01-30,0.00,0.00,0.00
2020-01-31,0.00,0.00,0.00
2020-02-01,0.00,0.00,0.00
2020-02-02,0.00,0.00,0.00
2020-02-03,0.00,0.00,0.00
2020-02-04,0.00,0.00,0.00
2020-02-05,0.00,0.00,0.00
2020-02-06,0.00,0.00,0.00
2020-02-07,0.00,0.00,0.00
2020-02-08,0.00,0.00,0.00
2020-02-09,0.00,0.00,0.00
2020-02-10,0.00,0.00,0.00
2020-02-11,0.00,0.00,0.00
2020-02-12,0.00,0.00,0.00
2020-02-13,0.00,0.00,0.00
2020-02-14,0.00,0.00,0.00
2020-02-15,0.00,0.00,0.00
2020-02-16,0.00,0.00,0.00
2020-02-17,0.00,0.00,0.00
2020-02-18,0.00,0.00,0.00
2020-02-19,0.00,0.00,0.00
2020-02-20,0.00,0.00,0.00
2020-02-21,0.00,0.00,0.00
2020-02-22,0.00,0.00,0.00
2020-02-23,0.00,0.00,0.00
2020-02-24,0.00,0.00,0.00
2020-02-25,0.00,0.00,0.00
2020-02-26,0.00,0.00,0.00
2020-02-27,0.00,0.00,0.00
2020-02-28,0.00,0.00,0.00
2020-02-29,0.00,0.00,0.00
2020-03-01,0.00,0.00,0.00
2020-03-02,0.00,0.00,0.00
2020-03-03,0.00,0.01,0.00
2020-03-04,0.01,0.01,0.00
2020-03-05,0.01,0.01,0.00
2020-03-06,0.02,0.02,0.00
2020-03-07,0.02,0.02,0.00
2020-03-08,0.03,0.03,0.00
2020-03-09,0.05,0.04,0.00
2020-03-10,0.07,0.06,0.01
2020-03-11,0.09,0.08,0.01
2020-03-12,0.11,0.11,0.02
2020-03-13,0.13,0.15,0.04
2020-03-14,0.15,0.19,0.04
2020-03-15,0.20,0.25,0.07
2020-03-16,0.23,0.32,0.10
2020-03-17,0.29,0.41,0.13
2020-03-18,0.39,0.52,0.14
2020-03-19,0.56,0.62,0.18
2020-03-20,0.78,0.76,0.19
2020-03-21,1.07,0.90,0.20
2020-03-22,1.45,1.03,0.31
2020-03-23,1.92,1.18,0.42
2020-03-24,2.37,1.37,0.44
2020-03-25,2.88,1.60,0.58
2020-03-26,3.64,1.86,0.66
2020-03-27,4.42,2.14,0.79
2020-03-28,5.19,2.39,0.82
2020-03-29,6.45,2.60,0.95
2020-03-30,6.44,2.88,1.09
2020-03-31,7.14,3.23,1.15
2020-04-01,7.93,3.56,1.49
