Dates,Dem_trifecta,Rep_Trifecta,None
2020-01-22,0.00,0.00,0.00
2020-01-23,0.00,0.00,0.00
2020-01-24,0.00,0.00,0.00
2020-01-25,0.00,0.00,0.00
2020-01-26,0.00,0.00,0.00
2020-01-27,0.00,0.00,0.00
2020-01-28,0.00,0.00,0.00
2020-01-29,0.00,0.00,0.00
2020-01-30,0.00,0.00,0.00
2020-01-31,0.00,0.00,0.00
2020-02-01,0.00,0.00,0.00
2020-02-02,0.00,0.00,0.00
2020-02-03,0.00,0.00,0.00
2020-02-04,0.00,0.00,0.00
2020-02-05,0.00,0.00,0.00
2020-02-06,0.00,0.00,0.00
2020-02-07,0.00,0.00,0.00
2020-02-08,0.00,0.00,0.00
2020-02-09,0.00,0.00,0.00
2020-02-10,0.00,0.00,0.00
2020-02-11,0.00,0.00,0.00
2020-02-12,0.00,0.00,0.00
2020-02-13,0.00,0.00,0.00
2020-02-14,0.00,0.00,0.00
2020-02-15,0.00,0.00,0.00
2020-02-16,0.00,0.00,0.00
2020-02-17,0.00,0.00,0.00
2020-02-18,0.00,0.00,0.00
2020-02-19,0.00,0.00,0.00
2020-02-20,0.00,0.00,0.00
2020-02-21,0.00,0.00,0.00
2020-02-22,0.00,0.00,0.00
2020-02-23,0.00,0.00,0.00
2020-02-24,0.00,0.00,0.00
2020-02-25,0.00,0.00,0.00
2020-02-26,0.00,0.00,0.00
2020-02-27,0.00,0.00,0.00
2020-02-28,0.00,0.00,0.00
2020-02-29,0.00,0.00,0.00
2020-03-01,0.00,0.00,0.00
2020-03-02,0.00,0.00,0.00
2020-03-03,0.00,0.00,0.01
2020-03-04,0.01,0.01,0.01
2020-03-05,0.01,0.01,0.02
2020-03-06,0.02,0.01,0.03
2020-03-07,0.02,0.01,0.04
2020-03-08,0.03,0.02,0.05
2020-03-09,0.05,0.02,0.07
2020-03-10,0.07,0.03,0.11
2020-03-11,0.09,0.04,0.14
2020-03-12,0.11,0.05,0.20
2020-03-13,0.13,0.06,0.26
2020-03-14,0.15,0.08,0.33
2020-03-15,0.20,0.11,0.44
2020-03-16,0.24,0.14,0.58
2020-03-17,0.31,0.17,0.72
2020-03-18,0.41,0.22,0.89
2020-03-19,0.58,0.28,1.07
2020-03-20,0.82,0.36,1.27
2020-03-21,1.13,0.46,1.46
2020-03-22,1.54,0.56,1.65
2020-03-23,2.06,0.68,1.85
2020-03-24,2.51,0.84,2.08
2020-03-25,3.00,1.03,2.45
2020-03-26,3.77,1.24,2.82
2020-03-27,4.54,1.50,3.23
2020-03-28,5.27,1.69,3.67
2020-03-29,6.61,1.92,3.95
2020-03-30,6.49,2.14,4.39
2020-03-31,7.18,2.42,4.88
2020-04-01,8.00,2.67,5.42
